company_id,type,rule_id,text,confidence_pct
ABB,con,CON99,Future financial performance should continue to be monitored.,65
ABB,pro,PRO04,Operating margin above 25% reflects pricing power and cost discipline.,88
ABB,pro,PRO05,Healthy net profit margin supports sustainable profitability.,86
ABB,pro,PRO06,High interest coverage indicates negligible debt servicing risk.,90
ABB,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
ADANIENSOL,con,CON04,Low net profit margin indicates weak profitability.,88
ADANIENSOL,pro,PRO04,Operating margin above 25% reflects pricing power and cost discipline.,88
ADANIENT,con,CON99,Future financial performance should continue to be monitored.,65
ADANIENT,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
ADANIGREEN,con,CON99,Future financial performance should continue to be monitored.,65
ADANIGREEN,pro,PRO04,Operating margin above 25% reflects pricing power and cost discipline.,88
ADANIGREEN,pro,PRO05,Healthy net profit margin supports sustainable profitability.,86
ADANIPORTS,con,CON99,Future financial performance should continue to be monitored.,65
ADANIPORTS,pro,PRO04,Operating margin above 25% reflects pricing power and cost discipline.,88
ADANIPORTS,pro,PRO05,Healthy net profit margin supports sustainable profitability.,86
ADANIPORTS,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
ADANIPOWER,con,CON99,Future financial performance should continue to be monitored.,65
ADANIPOWER,pro,PRO04,Operating margin above 25% reflects pricing power and cost discipline.,88
ADANIPOWER,pro,PRO05,Healthy net profit margin supports sustainable profitability.,86
ADANIPOWER,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
AMBUJACEM,con,CON99,Future financial performance should continue to be monitored.,65
AMBUJACEM,pro,PRO06,High interest coverage indicates negligible debt servicing risk.,90
APOLLOHOSP,con,CON99,Future financial performance should continue to be monitored.,65
APOLLOHOSP,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
ASIANPAINT,con,CON99,Future financial performance should continue to be monitored.,65
ASIANPAINT,pro,PRO06,High interest coverage indicates negligible debt servicing risk.,90
ASIANPAINT,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
ATGL,con,CON99,Future financial performance should continue to be monitored.,65
ATGL,pro,PRO06,High interest coverage indicates negligible debt servicing risk.,90
AXISBANK,con,CON99,Future financial performance should continue to be monitored.,65
AXISBANK,pro,PRO04,Operating margin above 25% reflects pricing power and cost discipline.,88
AXISBANK,pro,PRO05,Healthy net profit margin supports sustainable profitability.,86
AXISBANK,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
BAJAJ-AUTO,con,CON99,Future financial performance should continue to be monitored.,65
BAJAJ-AUTO,pro,PRO05,Healthy net profit margin supports sustainable profitability.,86
BAJAJ-AUTO,pro,PRO06,High interest coverage indicates negligible debt servicing risk.,90
BAJAJ-AUTO,pro,PRO08,Strong earnings per share reflects shareholder value creation.,80
BAJAJFINSV,con,CON99,Future financial performance should continue to be monitored.,65
BAJAJFINSV,pro,PRO04,Operating margin above 25% reflects pricing power and cost discipline.,88
